ID del Cliente,Nombre del Cliente,Edad,Correo Electronico,Fecha de Registro,Total Gastado
1001,Cliente 1,21,Correo1@gmail.com,2024-06-14,944
1002,Cliente 2,27,Correo2@gmail.com,2024-06-26,4887
1003,Cliente 3,25,Correo3@gmail.com,2024-08-03,2292
1004,Cliente 4,42,Correo4@gmail.com,2024-03-20,3913
1005,Cliente 5,34,Correo5@gmail.com,2024-06-08,985
1006,Cliente 6,20,Correo6@gmail.com,2024-01-25,4037
1007,Cliente 7,21,Correo7@gmail.com,2024-04-28,4807
1008,Cliente 8,48,Correo8@gmail.com,2024-12-20,4925
1009,Cliente 9,27,Correo9@gmail.com,2024-10-19,1184
1010,Cliente 10,23,Correo10@gmail.com,2024-10-18,4758
1011,Cliente 11,42,Correo11@gmail.com,2024-11-07,2756
1012,Cliente 12,30,Correo12@gmail.com,2024-01-07,4489
1013,Cliente 13,39,Correo13@gmail.com,2024-04-11,2960
1014,Cliente 14,19,Correo14@gmail.com,2024-11-01,683
1015,Cliente 15,26,Correo15@gmail.com,2024-10-11,4917
1016,Cliente 16,29,Correo16@gmail.com,2024-06-08,158
1017,Cliente 17,32,Correo17@gmail.com,2024-01-01,3487
1018,Cliente 18,48,Correo18@gmail.com,2024-10-06,1784
1019,Cliente 19,35,Correo19@gmail.com,2024-12-31,2431
1020,Cliente 20,41,Correo20@gmail.com,2024-01-10,2461
1021,Cliente 21,20,Correo21@gmail.com,2024-11-24,2929
1022,Cliente 22,29,Correo22@gmail.com,2024-06-07,1541
1023,Cliente 23,48,Correo23@gmail.com,2024-11-26,903
1024,Cliente 24,20,Correo24@gmail.com,2024-06-15,2276
1025,Cliente 25,45,Correo25@gmail.com,2024-06-29,4274
1026,Cliente 26,22,Correo26@gmail.com,2024-10-31,857
1027,Cliente 27,38,Correo27@gmail.com,2024-06-03,2989
1028,Cliente 28,27,Correo28@gmail.com,2024-02-20,1606
1029,Cliente 29,21,Correo29@gmail.com,2024-02-07,2439
1030,Cliente 30,29,Correo30@gmail.com,2024-02-11,878
1031,Cliente 31,27,Correo31@gmail.com,2024-02-10,3992
1032,Cliente 32,37,Correo32@gmail.com,2024-12-24,1737
1033,Cliente 33,44,Correo33@gmail.com,2024-03-17,1332
1034,Cliente 34,36,Correo34@gmail.com,2024-12-05,4442
1035,Cliente 35,50,Correo35@gmail.com,2024-01-11,2546
1036,Cliente 36,37,Correo36@gmail.com,2024-04-23,3639
1037,Cliente 37,26,Correo37@gmail.com,2024-08-09,198
1038,Cliente 38,22,Correo38@gmail.com,2024-07-26,396
1039,Cliente 39,46,Correo39@gmail.com,2024-08-27,2970
1040,Cliente 40,32,Correo40@gmail.com,2024-10-28,3415
1041,Cliente 41,39,Correo41@gmail.com,2024-06-18,2447
1042,Cliente 42,40,Correo42@gmail.com,2024-11-23,1377
1043,Cliente 43,45,Correo43@gmail.com,2024-05-02,1772
1044,Cliente 44,40,Correo44@gmail.com,2024-06-23,1402
1045,Cliente 45,34,Correo45@gmail.com,2024-05-21,1343
1046,Cliente 46,43,Correo46@gmail.com,2024-06-06,2558
1047,Cliente 47,37,Correo47@gmail.com,2024-09-17,1300
1048,Cliente 48,22,Correo48@gmail.com,2024-01-30,2697
1049,Cliente 49,35,Correo49@gmail.com,2024-06-26,1500
1050,Cliente 50,36,Correo50@gmail.com,2024-12-22,2689
1051,Cliente 51,22,Correo51@gmail.com,2024-11-06,174
1052,Cliente 52,19,Correo52@gmail.com,2024-04-22,1217
1053,Cliente 53,40,Correo53@gmail.com,2024-08-19,89
1054,Cliente 54,40,Correo54@gmail.com,2024-12-27,1806
1055,Cliente 55,21,Correo55@gmail.com,2024-05-31,3318
1056,Cliente 56,36,Correo56@gmail.com,2024-06-24,1376
1057,Cliente 57,37,Correo57@gmail.com,2024-05-03,2604
1058,Cliente 58,29,Correo58@gmail.com,2024-06-03,1499
1059,Cliente 59,19,Correo59@gmail.com,2024-10-17,3721
1060,Cliente 60,43,Correo60@gmail.com,2024-03-03,4529
1061,Cliente 61,28,Correo61@gmail.com,2024-02-08,703
1062,Cliente 62,26,Correo62@gmail.com,2024-03-28,2474
1063,Cliente 63,47,Correo63@gmail.com,2024-07-03,3128
1064,Cliente 64,45,Correo64@gmail.com,2024-07-28,2020
1065,Cliente 65,25,Correo65@gmail.com,2024-06-01,1528
1066,Cliente 66,35,Correo66@gmail.com,2024-10-28,1307
1067,Cliente 67,20,Correo67@gmail.com,2024-11-05,4487
1068,Cliente 68,48,Correo68@gmail.com,2024-06-17,984
1069,Cliente 69,48,Correo69@gmail.com,2024-08-19,1392
1070,Cliente 70,25,Correo70@gmail.com,2024-01-27,1926
1071,Cliente 71,28,Correo71@gmail.com,2024-04-24,4437
1072,Cliente 72,21,Correo72@gmail.com,2024-01-01,4873
1073,Cliente 73,29,Correo73@gmail.com,2024-07-13,1039
1074,Cliente 74,40,Correo74@gmail.com,2024-04-07,3999
1075,Cliente 75,41,Correo75@gmail.com,2024-08-14,918
1076,Cliente 76,21,Correo76@gmail.com,2024-08-19,4859
1077,Cliente 77,23,Correo77@gmail.com,2024-04-01,63
1078,Cliente 78,25,Correo78@gmail.com,2024-01-26,4442
1079,Cliente 79,34,Correo79@gmail.com,2024-03-09,1254
1080,Cliente 80,31,Correo80@gmail.com,2024-03-09,4614
1081,Cliente 81,32,Correo81@gmail.com,2024-08-20,3926
1082,Cliente 82,46,Correo82@gmail.com,2024-05-08,162
1083,Cliente 83,40,Correo83@gmail.com,2024-07-02,4172
1084,Cliente 84,38,Correo84@gmail.com,2024-04-19,3667
1085,Cliente 85,45,Correo85@gmail.com,2024-02-10,4010
1086,Cliente 86,41,Correo86@gmail.com,2024-12-01,4061
1087,Cliente 87,42,Correo87@gmail.com,2024-07-28,966
1088,Cliente 88,42,Correo88@gmail.com,2024-04-05,4365
1089,Cliente 89,26,Correo89@gmail.com,2024-06-06,3506
1090,Cliente 90,38,Correo90@gmail.com,2024-05-11,3951
1091,Cliente 91,19,Correo91@gmail.com,2024-01-20,1898
1092,Cliente 92,39,Correo92@gmail.com,2024-01-31,4706
1093,Cliente 93,45,Correo93@gmail.com,2024-12-03,4023
1094,Cliente 94,50,Correo94@gmail.com,2024-12-10,4960
1095,Cliente 95,50,Correo95@gmail.com,2024-10-22,2711
1096,Cliente 96,41,Correo96@gmail.com,2024-05-03,4129
